#{"t_start": 1541001686.6930947, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,123,4.83145
1.0,177,8.501413
0.0,129,11.271808
0.0,127,13.827048
0.0,125,16.667873
4.0,292,23.271675
2.0,225,28.504955
0.0,129,31.255668
0.0,127,34.008412
2.0,222,39.209455
0.0,127,41.972896
1.0,173,45.606811
0.0,129,48.249169
0.0,125,50.998705
0.0,129,53.675527
0.0,127,56.380458
0.0,127,59.122468
4.0,282,65.640577
0.0,129,68.497062
1.0,176,72.372702
1.0,175,76.456234
3.0,248,81.967305
1.0,177,85.868683
3.0,271,92.230639
5.0,310,99.475134
0.0,127,102.110985
0.0,129,104.919974
2.0,200,109.484535
0.0,127,112.428455
2.0,204,116.921306
0.0,127,119.662658
0.0,129,122.458248
2.0,203,127.242297
2.0,202,131.705454
0.0,127,134.421812
1.0,155,138.073171
0.0,127,140.835161
0.0,125,143.504156
0.0,125,146.245675
1.0,174,150.183132
0.0,127,152.930126
0.0,127,155.752234
1.0,176,159.695676
0.0,129,162.583878
0.0,123,165.144448
5.0,299,171.785229
0.0,127,174.854642
3.0,233,179.859766
0.0,129,182.571082
0.0,127,185.587917
1.0,155,188.920864
0.0,127,191.576175
2.0,202,196.24777
1.0,176,200.042597
5.0,352,208.215682
1.0,171,211.989436
5.0,368,220.69395
1.0,175,224.362905
2.0,202,228.850346
1.0,157,232.513768
2.0,204,237.092882
7.0,429,247.124311
1.0,155,250.658737
2.0,206,255.182116
2.0,220,260.357586
2.0,201,264.797341
0.0,127,267.533298
2.0,200,272.101976
0.0,129,274.80139
0.0,129,277.497516
0.0,127,280.219761
9.0,425,290.386153
4.0,301,297.196253
0.0,127,299.876192
0.0,127,302.659658
2.0,222,307.947105
0.0,127,310.498605
1.0,155,313.808465
2.0,202,318.307031
1.0,155,321.641203
0.0,127,324.274517
0.0,125,326.884023
0.0,125,329.685933
0.0,125,332.316195
2.0,184,336.26841
2.0,203,340.619733
0.0,129,343.36378
1.0,173,347.302209
2.0,200,351.788512
5.0,331,359.319233
0.0,125,362.002782
0.0,129,364.777995
3.0,270,371.016977
0.0,129,373.80322
5.0,350,381.768131
9.0,404,390.801235
1.0,174,394.58537
0.0,125,397.202224
0.0,127,399.837654
0.0,127,402.70895
0.0,129,405.372803
0.0,127,407.92598
0.0,129,410.553554
0.0,127,413.602744
4.0,319,420.91759
5.0,350,429.105303
0.0,127,431.941819
0.0,129,434.763654
0.0,127,437.702247
0.0,129,440.248508
0.0,125,442.895821
2.0,202,447.096049
0.0,129,449.928612
0.0,129,452.601207
9.0,404,461.805646
0.0,129,464.551748
0.0,123,467.13333
5.0,350,475.155637
0.0,125,477.73176
3.0,248,483.195542
0.0,129,486.065076
2.0,202,490.550522
0.0,129,493.207589
0.0,125,495.684452
3.0,248,501.222744
2.0,198,505.384126
0.0,125,508.047336
2.0,202,512.378069
0.0,129,515.223514
0.0,125,517.692199
2.0,202,522.277734
0.0,129,524.903384
5.0,350,533.011608
4.0,297,539.704345
0.0,129,542.386674
6.0,397,551.433348
2.0,202,555.979615
2.0,198,560.28245
0.0,127,562.876344
0.0,129,565.56161
0.0,125,568.462514
1.0,155,571.574923
10.0,450,581.759583
2.0,202,585.998044
0.0,129,588.644932
0.0,129,591.573591
0.0,125,594.198555
1.0,155,597.534534
0.0,127,600.150853
2.0,198,604.7048
0.0,125,607.23363
0.0,127,609.751549
8.0,479,620.714648
0.0,127,623.434759
0.0,125,626.224778
2.0,200,630.544695
2.0,202,634.897668
0.0,129,637.758133
3.0,248,642.992866
0.0,129,645.737007
0.0,125,648.35648
2.0,200,652.842742
0.0,129,655.423847
0.0,129,658.132683
5.0,348,665.860565
0.0,129,668.496304
0.0,125,671.248712
0.0,129,674.221099
1.0,178,678.055634
10.0,455,688.269408
2.0,202,692.604764
0.0,125,695.227604
0.0,129,698.094029
4.0,282,704.235627
0.0,127,706.816968
1.0,172,710.710076
0.0,129,713.225914
0.0,127,715.823404
5.0,350,723.528992
2.0,202,727.865292
4.0,301,734.586871
0.0,127,737.029232
0.0,127,739.638324
9.0,404,748.739991
0.0,127,751.484619
2.0,202,755.785818
0.0,129,758.384244
2.0,200,762.613652
0.0,129,765.586862
1.0,174,769.078736
3.0,248,774.506921
9.0,404,783.757776
7.0,446,793.821276
0.0,127,796.324927
0.0,125,798.813375
2.0,202,803.554597
1.0,175,807.388807
1.0,178,811.325412
2.0,205,816.21248
5.0,350,824.001029
10.0,431,833.656004
5.0,350,841.774167
0.0,127,844.432763
5.0,350,852.265006
2.0,200,856.511267
0.0,129,859.211181
2.0,202,863.814654
0.0,125,866.260263
9.0,404,875.15461
2.0,202,879.386851
0.0,125,882.064117
2.0,223,886.926202
0.0,127,889.52627
1.0,173,893.129687
1.0,155,896.63821
1.0,174,900.392039
0.0,129,903.028177
6.0,377,911.43609
0.0,125,914.001634
1.0,155,917.252495
5.0,350,925.077819
0.0,127,927.606768
1.0,155,931.070132
3.0,247,936.655177
4.0,275,942.955875
3.0,232,947.885309
0.0,127,950.457814
2.0,219,955.290192
0.0,127,957.89677
1.0,171,961.52877
10.0,435,971.34542
3.0,248,976.739323
1.0,157,980.119959
5.0,305,986.795967
2.0,225,991.74854
1.0,153,995.076376
0.0,123,997.585513
2.0,198,1001.923016
5.0,350,1009.816873
9.0,527,1021.672143
1.0,153,1024.992757
1.0,178,1028.775058
2.0,202,1033.167519
0.0,123,1035.924444
0.0,125,1038.384026
5.0,350,1046.06514
10.0,431,1055.238428
1.0,155,1058.69999
0.0,129,1061.358942
2.0,203,1065.679195
2.0,200,1070.003323
1.0,172,1073.72403
0.0,127,1076.3596
2.0,183,1080.118139
10.0,433,1089.8885
2.0,188,1094.087062
0.0,125,1096.604737
4.0,278,1102.554838
0.0,129,1105.474005
1.0,173,1108.931236
0.0,129,1111.565904
2.0,225,1116.617041
0.0,129,1119.293957
5.0,348,1127.27997
2.0,187,1131.181303
1.0,155,1134.514098
3.0,213,1139.17055
4.0,297,1145.458485
1.0,171,1149.087968
3.0,226,1154.275141
0.0,125,1156.814893
0.0,129,1159.378458
2.0,202,1163.755312
2.0,187,1167.753807
4.0,262,1173.658261
0.0,127,1176.105814
0.0,127,1178.689041
0.0,127,1181.294077
2.0,200,1185.585516
0.0,125,1188.061341
10.0,431,1197.760227
2.0,229,1202.621956
0.0,127,1205.179286
9.0,403,1214.375373
6.0,338,1222.063238
3.0,226,1226.899196
4.0,297,1233.57263
0.0,129,1236.171328
0.0,129,1238.805391
10.0,448,1248.715227
0.0,129,1251.289316
4.0,297,1257.741279
2.0,201,1261.979372
5.0,350,1269.668642
1.0,155,1272.882682
7.0,250,1278.411006
1.0,155,1281.62737
4.0,304,1288.270007
1.0,176,1292.210905
1.0,155,1295.493427
5.0,324,1302.879807
4.0,299,1309.288144
7.0,248,1314.837615
9.0,380,1323.115592
5.0,291,1329.501379
4.0,262,1335.511746
0.0,129,1338.204373
5.0,350,1345.801253
3.0,246,1351.368608
2.0,185,1355.350515
4.0,263,1361.036315
3.0,218,1365.721499
0.0,129,1368.462772
4.0,297,1374.984433
1.0,153,1378.034014
4.0,287,1384.386942
1.0,175,1388.060277
1.0,155,1391.218201
1.0,178,1395.089673
2.0,208,1399.3792
4.0,297,1406.006049
0.0,129,1408.512641
0.0,129,1411.07679
1.0,177,1414.599087
5.0,350,1422.250524
7.0,444,1431.998063
2.0,185,1435.970295
1.0,157,1439.502405
6.0,380,1447.646687
3.0,246,1452.88683
5.0,350,1460.54906
0.0,129,1463.332297
6.0,399,1471.969481
2.0,180,1475.983825
2.0,201,1480.232136
1.0,173,1483.878964
12.0,528,1495.468123
8.0,470,1505.544307
1.0,155,1508.892572
4.0,280,1514.9473
10.0,454,1525.10342
2.0,202,1529.579816
4.0,268,1535.206065
10.0,454,1545.067097
9.0,404,1553.883892
1.0,175,1557.484564
1.0,176,1561.068909
9.0,402,1569.704667
10.0,405,1578.473069
4.0,265,1584.035224
9.0,511,1594.805197
0.0,129,1597.600757
3.0,273,1603.135461
3.0,216,1607.961717
10.0,429,1616.646464
2.0,206,1620.850198
11.0,271,1626.259537
4.0,264,1631.773478
3.0,255,1636.948118
7.0,401,1645.304605
3.0,214,1649.559719
0.0,127,1652.270524
10.0,423,1661.11634
0.0,129,1663.956177
5.0,313,1670.320672
11.0,460,1680.074254
3.0,217,1684.695707
4.0,255,1689.982117
6.0,327,1696.696905
6.0,334,1703.452004
2.0,204,1707.621959
3.0,211,1711.730747
11.0,271,1717.35993
6.0,357,1724.564064
12.0,503,1735.225494
14.0,508,1745.815894
5.0,294,1751.936052
5.0,304,1758.043007
9.0,485,1768.246815
8.0,281,1774.175071
4.0,281,1779.788355
8.0,298,1786.23605
8.0,458,1795.868559
8.0,458,1805.384269
4.0,288,1811.109345
6.0,342,1818.233917
2.0,224,1822.737318
6.0,342,1829.864692
5.0,312,1836.448509
11.0,503,1846.776401
5.0,351,1853.756129
12.0,461,1863.097179
4.0,323,1869.716948
7.0,395,1877.862362
13.0,600,1890.199418
10.0,501,1900.320858
9.0,314,1906.780349
14.0,375,1914.542994
10.0,485,1924.642808
8.0,475,1934.560124
10.0,372,1942.065472
6.0,349,1948.728674
16.0,613,1961.24432
9.0,471,1970.923671
7.0,390,1978.773842
9.0,349,1985.946869
5.0,366,1993.367234
15.0,561,2004.822667
10.0,513,2015.252272
8.0,460,2024.185704
12.0,591,2036.435383
9.0,464,2045.750034
13.0,649,2058.9225
17.0,663,2072.387398
5.0,345,2079.370443
14.0,585,2091.139889
17.0,667,2104.397962
8.0,439,2113.378569
21.0,462,2122.584974
10.0,524,2133.021751
19.0,508,2143.197664
9.0,485,2152.816708
25.0,637,2165.315705
25.0,856,2182.358169
18.0,560,2193.558848
21.0,638,2206.444345
22.0,654,2219.441269
20.0,798,2235.591718
13.0,599,2247.334844
32.0,622,2259.807238
25.0,552,2270.83924
30.0,1002,2290.699616
26.0,680,2304.201778
33.0,819,2320.246791
14.0,561,2331.699672
12.0,481,2340.900145
23.0,884,2358.512983
30.0,815,2374.414132
28.0,704,2388.092699
17.0,591,2399.643827
19.0,720,2413.89198
20.0,746,2428.525098
10.0,514,2438.60691
12.0,555,2449.615282
27.0,1015,2469.609941
13.0,577,2480.60164
27.0,714,2494.655191
25.0,742,2508.979506
12.0,614,2520.870747
35.0,1097,2542.376739
19.0,823,2558.210032
24.0,792,2573.683677
19.0,681,2586.872626
28.0,795,2602.299111
28.0,604,2613.87342
23.0,768,2628.565543
50.0,1317,2654.24542
33.0,1062,2674.867119
25.0,901,2692.527234
43.0,886,2709.541499
44.0,978,2728.717817
30.0,858,2745.465987
18.0,671,2758.377565
40.0,1030,2778.288645
33.0,1022,2798.448338
17.0,602,2809.898549
21.0,629,2822.112924
